iter	Passed	Remaining
739	402994	141592
740	403538	141048
741	404013	140479
742	404521	139922
743	405041	139369
744	405582	138823
745	406084	138264
746	406677	137736
747	407252	137202
748	407821	136666
749	408373	136124
750	408889	135570
751	409385	135009
752	409958	134474
753	410488	133925
754	411093	133401
755	411701	132877
756	412258	132336
757	412809	131794
758	413370	131254
759	413892	130702
760	414446	130161
761	414956	129605
762	415477	129053
763	415972	128494
764	416539	127956
765	417041	127399
766	417510	126831
767	418065	126290
768	418611	125746
769	419214	125219
770	419759	124675
771	420288	124126
772	420752	123558
773	421278	123008
774	421866	122477
775	422364	121919
776	422937	121383
777	423496	120843
778	424015	120292
779	424567	119749
780	425084	119197
781	425661	118662
782	426172	118108
783	426678	117554
784	427180	116998
785	427659	116436
786	428134	115873
787	428735	115345
788	429329	114814
789	429827	114257
790	430374	113714
791	430924	113172
792	431457	112625
793	431992	112078
794	432532	111533
795	433057	110984
796	433603	110440
797	434160	109900
798	434654	109343
799	435130	108782
800	435620	108225
801	436236	107699
802	436811	107162
803	437378	106624
804	437917	106079
805	438497	105544
806	439062	105005
807	439583	104455
808	440229	103935
809	440825	103403
810	441364	102858
811	441901	102312
812	442641	101812
813	443387	101314
814	444097	100807
815	444671	100269
816	445353	99754
817	445903	99210
818	446501	98677
819	447103	98144
820	447687	97607
821	448264	97069
822	448863	96535
823	449464	96002
824	450025	95459
825	450561	94912
826	451060	94357
827	451631	93817
828	452228	93282
829	452805	92743
830	453352	92197
831	453861	91645
832	454397	91097
833	454917	90547
834	455517	90012
835	456035	89461
836	456608	88921
837	457182	88381
838	457654	87821
839	458240	87283
840	458834	86747
841	459349	86196
842	459948	85660
843	460546	85124
844	461102	84580
845	461630	84032
846	462185	83488
847	462715	82939
848	463314	82403
849	463833	81853
850	464353	81302
851	464918	80760
852	465538	80227
853	466042	79674
854	466557	79123
855	467147	78585
856	467681	78037
857	468245	77495
858	468802	76951
859	469364	76408
860	469936	75866
861	470503	75324
862	471097	74786
863	471655	74242
864	472235	73701
865	472721	73146
866	473380	72617
867	473939	72073
868	474505	71530
869	475140	70998
870	475711	70455
871	476327	69919
872	476790	69361
873	477372	68820
874	477900	68271
875	478425	67722
876	478934	67171
877	479479	66624
878	480035	66079
879	480611	65537
880	481154	64991
881	481727	64448
882	482315	63908
883	482799	63353
884	483416	62816
885	483957	62269
